ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11366477,JB331489,07-02-2018 03:20,075XX S PERRY AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,TRUE,FALSE,623,6,6,69,18,1176700,1854960,2018,07-09-2018 16:19,41.75735495,-87.62798447,"(41.757354945, -87.62798447)"
11366479,JB331490,07-02-2018 01:30,068XX S NORMAL BLVD,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,TRUE,FALSE,722,7,6,68,5,1174125,1859718,2018,07-09-2018 16:19,41.77046901,-87.63728033,"(41.770469009, -87.637280329)"
11366533,JB331415,07-02-2018 00:45,037XX W HARRISON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,GAS STATION,TRUE,FALSE,1133,11,24,27,15,1151316,1897098,2018,07-09-2018 16:19,41.87352095,-87.71991149,"(41.87352095, -87.719911487)"
11366518,JB331521,07-02-2018 06:00,044XX S KEELER AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,815,8,14,57,08A,1149089,1874957,2018,07-11-2018 15:52,41.81280654,-87.72866033,"(41.812806544, -87.728660325)"
11366557,JB331547,07-02-2018 06:18,042XX W 82ND ST,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,TRUE,FALSE,834,8,13,70,18,1149559,1849688,2018,07-09-2018 16:19,41.74345526,-87.72758923,"(41.743455255, -87.727589229)"
11366621,JB331640,07-02-2018 08:23,0000X S SPRINGFIELD AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1122,11,28,26,18,1150397,1899626,2018,07-09-2018 16:19,41.88047604,-87.72321965,"(41.880476036, -87.723219647)"
11366646,JB331678,07-02-2018 09:05,049XX W VAN BUREN ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1533,15,24,25,18,1143659,1897561,2018,07-09-2018 16:19,41.8749382,-87.74801291,"(41.8749382, -87.748012909)"
11366684,JB331752,07-02-2018 10:33,031XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1124,11,28,27,18,1155648,1899371,2018,07-09-2018 16:19,41.87967224,-87.70394526,"(41.879672237, -87.703945255)"
11366635,JB331645,07-02-2018 09:08,032XX W CERMAK RD,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,1022,10,24,30,08B,1155283,1889197,2018,07-11-2018 15:52,41.85176102,-87.70555867,"(41.851761023, -87.705558672)"
11366711,JB331688,07-02-2018 09:25,098XX S MERRION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,431,4,7,51,08B,1192813,1839912,2018,07-09-2018 16:19,41.71568417,-87.56942305,"(41.715684174, -87.569423051)"
11366718,JB331813,07-02-2018 11:03,068XX S JUSTINE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,725,7,17,67,18,1167183,1859387,2018,07-09-2018 16:19,41.76971205,-87.6627364,"(41.769712054, -87.662736398)"
11366719,JB331787,07-02-2018 10:30,003XX N AVERS AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1122,11,27,26,18,1150573,1901783,2018,07-09-2018 16:19,41.88639164,-87.72251701,"(41.886391642, -87.722517013)"
11366723,JB331807,07-02-2018 10:41,039XX W 13TH ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,TRUE,FALSE,1011,10,24,29,11,1150102,1893748,2018,07-09-2018 16:19,41.86435188,-87.72445597,"(41.864351883, -87.724455969)"
11366724,JB331747,07-02-2018 10:19,047XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,TRUE,FALSE,933,9,3,61,14,1171764,1873607,2018,07-09-2018 16:19,41.80863408,-87.6455275,"(41.808634077, -87.645527495)"
11366760,JB331852,07-02-2018 10:10,011XX N MONITOR AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,TRUE,FALSE,1511,15,29,25,26,1137147,1907084,2018,07-09-2018 16:19,41.90118992,-87.77169379,"(41.90118992, -87.771693789)"
11366765,JB331915,07-02-2018 12:15,008XX N MICHIGAN AVE,810,THEFT,OVER $500,SIDEWALK,TRUE,FALSE,1833,18,42,8,6,1177311,1905834,2018,07-09-2018 16:19,41.89694356,-87.62420631,"(41.896943556, -87.624206307)"
11366779,JB331675,07-02-2018 09:25,007XX W 74TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,TRUE,FALSE,732,7,17,68,26,1172427,1855798,2018,07-09-2018 16:19,41.75974959,-87.64361972,"(41.759749593, -87.643619722)"
